episode,step_total,reward_moyenne,reward_nord,reward_sud,reward_est,reward_ouest,accident,kl_moyenne,arret_anticipe
1,3600,-18685.371635,-15262.536166,-15214.151848,-15188.394458,-29076.404069,False,0.005939,False
2,3600,-34060.923147,-27653.148959,-27682.426347,-27804.945071,-53103.172213,False,0.006168,False
3,3600,-8023.183623,-6523.966270,-6557.834547,-6588.124879,-12422.808796,False,0.008820,False
4,3600,-16111.250253,-12950.396101,-14065.076964,-12953.220849,-24476.307100,False,0.010622,True
5,3600,-17808.671970,-14598.064337,-14490.748874,-14478.461511,-27667.413156,False,0.008561,True
6,3600,-11194.943351,-9094.589395,-9268.405376,-9213.652125,-17203.126509,False,0.009991,True
7,3600,-14519.904359,-11887.825288,-11824.842291,-11952.129531,-22414.820326,False,0.010415,True
8,3600,-26596.992205,-21713.310625,-21612.010050,-21671.265203,-41391.382942,False,0.009305,True
9,3600,-22796.030222,-18293.384147,-21260.615610,-18043.798441,-33586.322688,False,0.011024,True
10,3600,-13136.713364,-10721.524824,-10706.554246,-10681.651459,-20437.122927,False,0.011835,True
11,3600,-16763.312132,-13643.364842,-13906.904937,-13594.022588,-25908.956161,False,0.011517,True
12,3600,-19478.741227,-15801.834178,-16040.461811,-15910.343901,-30162.325017,False,0.009002,True
13,3600,-20022.727882,-16348.652499,-16264.480503,-16349.457229,-31128.321297,False,0.008907,True
14,3600,-17918.604719,-14615.972164,-15179.714290,-14512.818367,-27365.914053,False,0.013351,True
15,3600,-16019.351261,-13030.977920,-13054.365469,-13035.035342,-24957.026315,False,0.008322,True
16,3600,-17637.578674,-14347.437960,-14369.824171,-14347.103120,-27485.949446,False,0.009112,True
17,3600,-21880.223978,-17811.315901,-17869.172111,-17829.543914,-34010.863986,False,0.012484,True
18,3600,-18840.746134,-15309.360788,-15420.396966,-15313.705805,-29319.520976,False,0.007753,True
19,3600,-21126.929698,-17190.673253,-17201.191103,-17181.530095,-32934.324343,False,0.008508,True
20,3600,-23197.113784,-18897.030968,-18874.453619,-18854.556776,-36162.413773,False,0.009585,True
